CustomerId,Actual,LR_pred,LR_prob,RF_pred,RF_prob,XGB_pred,XGB_prob
9458,0.0,0.0,0.1811157913515432,0,0.2713668813988544,0,0.06645285
6917,0.0,1.0,0.530848297774159,1,0.7212757440699816,1,0.5903473
5778,0.0,0.0,0.2092155388517945,0,0.1483095070390873,0,0.067126215
759,0.0,0.0,0.2390394589453657,0,0.4134839239055596,0,0.18487146
5295,0.0,0.0,0.3406140370710889,0,0.1476727554900191,0,0.13930492
7455,1.0,0.0,0.1166854939482608,0,0.4653179848680574,0,0.18774897
845,0.0,0.0,0.3673787304083936,1,0.7805522623875248,1,0.5045633
259,0.0,0.0,0.1277248746714103,0,0.1872485858572475,0,0.08152209
7940,0.0,0.0,0.1589442058565533,0,0.2034636245983303,0,0.09340111
8124,1.0,0.0,0.3235534038482943,0,0.1125594773125172,0,0.092118345
7502,1.0,0.0,0.1464556069977263,0,0.4410181601704114,0,0.23996593
3462,0.0,0.0,0.4811614190713261,0,0.476878999216046,0,0.40861335
1396,1.0,0.0,0.1750160086323776,0,0.4760011943872658,0,0.23805103
7971,0.0,0.0,0.0717096600941432,0,0.408989435897318,0,0.17747341
4668,0.0,0.0,0.0585496928968077,0,0.213385797692324,0,0.052412614
5673,0.0,0.0,0.1529576409207622,0,0.1150832662723609,0,0.045562964
7177,0.0,0.0,0.3421313609493832,0,0.2862651211533247,0,0.24657245
4208,0.0,0.0,0.188175730768034,0,0.4231557467986492,0,0.21844345
5833,1.0,1.0,0.6332694486313154,1,0.8976298342833505,1,0.72145176
3480,1.0,0.0,0.3177940831391554,1,0.653463972466186,0,0.35396236
1349,0.0,0.0,0.2028815781009428,1,0.6340079991735864,0,0.49498862
5746,0.0,0.0,0.1368176578828622,0,0.3402095279040137,0,0.15438063
6855,1.0,0.0,0.221846552719013,0,0.3293399675522068,0,0.16298975
1232,1.0,0.0,0.496900880153911,1,0.9002371545006588,1,0.6964511
1339,0.0,0.0,0.1193578267208586,0,0.3515193205841182,0,0.17310026
1476,0.0,0.0,0.0499417225441639,0,0.0724134727131948,0,0.037419412
7601,0.0,0.0,0.0312773000676647,0,0.2909273539238864,0,0.07037148
6596,1.0,0.0,0.0734608418668339,0,0.1652697303911707,0,0.03696198
1617,0.0,0.0,0.1105986142029571,0,0.1087754230318057,0,0.032831702
4272,0.0,0.0,0.0979906905014898,0,0.2171508749792143,0,0.09510703
6468,0.0,0.0,0.0875268731608508,0,0.1038447155759527,0,0.113991335
6265,0.0,0.0,0.1074559853777039,0,0.0489330746910492,0,0.015352975
6325,1.0,0.0,0.4460763138291644,1,0.7242487598154576,1,0.5972011
2630,0.0,0.0,0.4542998160230003,0,0.1861272244580934,0,0.07803496
332,0.0,0.0,0.2275216129620763,1,0.5566686456768019,0,0.1835203
8270,0.0,0.0,0.131454602764981,0,0.4387393080681706,0,0.2109369
4868,0.0,0.0,0.0480464751181898,0,0.2270580656993013,0,0.108177684
3560,1.0,0.0,0.1764299027482012,1,0.6560654123400639,0,0.42643234
6151,0.0,0.0,0.156846132919231,0,0.1251063801477384,0,0.06013841
1587,0.0,0.0,0.0808822153009615,0,0.0662659382230589,0,0.03443665
4701,0.0,0.0,0.0834703188244948,0,0.0899934538863954,0,0.03098842
